"Name","Average coverage","Reference length"
"1010","0.472","7597"
"1011","3.498","73111"
"1012","0.065","13852"
"1013","0","7018"
"1014","2141.369","1977"
"1015","2.457","26611"
"1016","1.013","6353"
"1017","0.325","1841"
"1018","1465.823","1490"
"1019","0","1307"
"1020","220.615","13629"
"1021","7.292","2001"
"1022","0.202","37904"
"1023","4.45","36646"
"1024","9.281","39871"
"1025","248.224","8576"
"1026","1.86","78403"
"1027","0.13","23734"
"1028","91.513","30660"
"1029","16.658","32614"
"1030","1814.097","1093"
"1031","28.09","3527"
"1032","4.25","18917"
"1033","14.44","4348"
"1034","13.008","3700"
"1035","2179.117","1369"
"1036","19.178","1462"
"1037","46.532","4239"
"1038","18.898","1925"
"1039","501.471","1782"
"1040","39.137","12754"
"1041","888.233","3033"
"1042","31.929","6839"
"1043","1606.74","1697"
"1044","0","1422"
"1045","36.376","4440"
"1046","0.449","3471"
"1047","14.876","2006"
"1048","44.653","2712"
"1049","1.206","15826"
"1050","57.865","20301"
"1051","0.53","6099"
"1052","0.702","7711"
"1053","6.172","2125"
"1054","0.06","7458"
"1055","96.769","31433"
"1056","4.938","29973"
"1057","9.453","22601"
"1058","4.857","27624"
"1059","1.078","37866"
"1060","0.472","20250"
"1061","16.455","19357"
"1062","26.949","2835"
"1063","45.731","4752"
"1064","1240.892","1272"
"1065","7.781","2413"
"1066","51.652","3326"
"1067","1152.127","3237"
"1068","12.621","9862"
"1069","0.447","1646"
"1070","136.42","2727"
"1071","11.344","18274"
"1072","2307.895","1244"
"1073","4.204","2328"
"1074","39.1","1156"
"1075","1481.752","3406"
"1076","6.41","1395"
"1077","0.948","309732"
"1078","0.487","14836"
"1079","33.024","9652"
"1080","7.173","1061"
"1081","0.041","46301"
"1082","0.487","7227"
"1083","0.48","1480"
"1084","114.697","6967"
"1085","12.263","1973"
"1086","0.281","35796"
"1087","7.969","13601"
"1088","1.611","5185"
"1089","32.523","1448"
"1090","341.75","27567"
"1091","77.538","13925"
"1092","20.037","4281"
"1093","2785.673","2341"
"1094","0.823","17205"
"1095","49.502","12599"
"1096","2.535","1721"
"1097","2.23","4339"
"1098","7.071","12551"
"1099","13.121","62013"
"1100","4.767","1484"
"1101","0.087","11786"
"1102","1.28","22288"
"1103","56.192","17259"
"1104","1840.026","1179"
"1105","7.069","2127"
"1106","64.675","5063"
"1107","6.903","23359"
"1108","2190.843","2362"
"1109","733.974","1253"
"1110","80.884","8580"
"1111","65.496","40294"
"1112","38.451","1240"
"1113","43.025","5336"
"1114","23.415","37270"
"1115","13.97","8431"
"1116","59.552","1027"
"1117","1.397","7673"
"1118","0","6807"
"1119","13.464","9982"
"1120","36.764","10526"
"1121","49.141","14635"
"1122","28.457","22457"
"1123","13622.831","1231"
"1124","0.44","4504"
"1125","2.427","27150"
"1126","0.987","163943"
"1127","31.377","2860"
"1128","23.818","1052"
"1129","89.259","1711"
"1130","0.149","1782"
"1131","1.144","2402"
"1132","10.403","2764"
"1133","0","1637"
"1134","0.282","5657"
"1135","9.953","15215"
"1136","2.1","10156"
"1137","1917.157","1341"
"1138","58.805","13489"
"1139","1172.085","1224"
"1140","1804.113","1166"
"1141","13.707","2548"
"1142","10.961","9194"
"1143","23.938","12935"
"1144","1.384","9836"
"1145","2.409","53907"
"1146","4.23","11481"
"1147","5.077","1437"
"1148","8.926","8982"
"1149","1910.268","3995"
"1150","1480.448","1084"
"1151","0.997","187674"
"1152","32.722","1130"
"1153","1.519","2553"
"1154","27.974","3947"
"1155","21.222","2642"
"1156","12.235","3063"
"1157","64.859","1999"
"1158","28.85","2293"
"1159","4.292","3729"
"1160","1692.272","3148"
"1161","3.111","43422"
"1162","3.43","15414"
"1163","8.987","38442"
"1164","12.592","3183"
"1165","19.665","5285"
"1166","1670.472","1555"
"1167","1.762","6728"
"1168","45.815","3224"
"1169","92.576","6541"
"1170","0","3701"
"1171","194.53","2925"
"1172","65.225","2334"
"1173","18.549","2417"
"1174","6.378","21482"
"1175","3.384","1324"
"1176","15.843","2139"
"1177","0.354","19942"
"1178","0.107","1406"
"1179","4.204","39493"
"1180","0.055","4151"
"1181","3.333","157754"
"1182","0.698","11031"
"1183","81.317","2233"
"1184","1938.81","1502"
"1185","0.307","42229"
"1186","1892.515","2634"
"1187","30.239","1881"
"1188","2.611","97156"
"1189","43.833","1941"
"1190","49.713","1393"
"1191","2.013","2096"
"1192","2.456","7060"
"1193","30.936","5218"
"1194","0.169","13548"
"1195","7.669","10774"
